gene,degree
ENSG00000011021,46
ENSG00000059573,46
ENSG00000074660,45
ENSG00000072163,44
ENSG00000010295,42
ENSG00000007314,40
ENSG00000037280,40
ENSG00000068976,40
ENSG00000008311,39
ENSG00000068831,39
ENSG00000077616,39
ENSG00000004776,38
ENSG00000012822,38
ENSG00000019144,38
ENSG00000022267,38
ENSG00000076554,38
ENSG00000076555,38
ENSG00000075826,37
ENSG00000003756,36
ENSG00000004534,36
ENSG00000047648,36
ENSG00000004799,34
ENSG00000066056,34
ENSG00000061273,33
ENSG00000009950,32
ENSG00000010319,31
ENSG00000076067,30
ENSG00000010327,29
ENSG00000013441,29
ENSG00000067113,29
ENSG00000069122,29
ENSG00000074696,28
ENSG00000003402,27
ENSG00000078549,27
ENSG00000072778,25
ENSG00000018625,23
ENSG00000071205,22
ENSG00000071553,20
ENSG00000010322,19
ENSG00000003436,18
ENSG00000061936,17
ENSG00000029364,15
ENSG00000055955,15
ENSG00000009724,14
ENSG00000042062,14
ENSG00000074935,14
ENSG00000070371,11
ENSG00000053900,9
ENSG00000009694,8
ENSG00000047634,5
